日期,外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
11-27,"4,000","-4,000",0,0,0,0,0,0,"-13,158",0,0,0,"5,842","19,000","-13,158","-17,158"
11-28,"11,000","-11,000",0,0,0,0,0,0,"39,213",0,0,0,"49,280","10,067","39,213","28,213"
11-29,"33,000","-33,000",0,0,0,0,0,0,"50,364",0,0,0,"53,364","3,000","50,364","17,364"
11-30,0,"2,000",0,0,0,0,0,0,"24,102",0,0,0,"58,102","34,000","24,102","26,102"
12-1,0,"10,000",0,0,0,0,0,0,"-10,483",0,0,0,"236,620","247,103","-10,483",-483
12-4,"4,000","-3,000",0,0,0,0,0,0,"19,413",0,0,0,"91,541","72,128","19,413","16,413"
12-5,"2,000","86,000",0,0,0,0,0,0,"-40,882",0,0,0,"22,244","63,126","-40,882","45,118"
12-6,"1,000","90,000",0,0,0,0,0,0,"-80,975",0,0,0,"10,025","91,000","-80,975","9,025"
12-7,"2,000","-2,000",0,0,0,0,0,0,"11,483",0,0,0,"22,710","11,227","11,483","9,483"
12-8,"50,000","-50,000",0,0,0,0,0,0,"49,690",0,0,0,"99,190","49,500","49,690",-310
12-11,0,"12,000",0,0,0,0,0,0,"16,481",0,0,0,"155,869","139,388","16,481","28,481"
12-12,"34,000","-31,000",0,0,0,0,0,0,"73,799",0,0,0,"151,799","78,000","73,799","42,799"
12-13,0,"3,000",0,0,0,0,0,0,"45,599",0,0,0,"84,599","39,000","45,599","48,599"
12-14,0,"137,000",0,0,0,0,0,0,"-73,365",0,0,0,"129,921","203,286","-73,365","63,635"
12-15,"4,000","71,000",0,0,0,0,0,0,"-12,566",0,0,0,"131,434","144,000","-12,566","58,434"
12-18,0,"1,000",0,0,0,0,0,0,"18,359",0,0,0,"29,359","11,000","18,359","19,359"
12-19,0,"5,000",0,0,0,0,0,0,"32,869",0,0,0,"118,156","85,287","32,869","37,869"
12-20,0,"2,000",0,0,0,0,0,0,"43,983",0,0,0,"206,983","163,000","43,983","45,983"
12-21,"3,000","-2,000",0,0,0,0,0,0,"32,902",0,0,0,"114,902","82,000","32,902","30,902"
12-22,"6,000","-4,000",0,0,0,0,0,0,"98,370",0,0,0,"233,370","135,000","98,370","94,370"
12-25,"1,000","1,000",0,0,0,0,0,0,117,0,0,0,"39,117","39,000",117,"1,117"
12-26,0,"52,000",0,0,0,0,0,0,"115,701",0,0,0,"118,701","3,000","115,701","167,701"
12-27,"1,000","142,000",0,0,0,0,0,0,"-74,290",0,0,0,"253,710","328,000","-74,290","67,710"
12-28,"3,000","105,000",0,0,0,0,0,0,"-95,342",0,0,0,"186,658","282,000","-95,342","9,658"
12-29,0,"105,000",0,0,0,0,0,0,"-107,050",0,0,0,"52,129","159,179","-107,050","-2,050"
